login|file|reviews
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/HoppingWindows.java|3
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/UnlimitedWindow.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/KTable.java|5
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/SlidingWindows.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/Window.java|3
ymatsuda|streams/src/main/java/org/apache/kafka/streams/examples/KStreamJob.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/TransformerSupplier.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamImplTest.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamFlatMapValuesTest.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/DefaultWindowedDeserializer.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamTransformValuesTest.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamKTableLeftJoinTest.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/KStream.java|5
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/Windows.java|3
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamTransformTest.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamMapTest.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamMapValuesTest.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/AggregatorSupplier.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/Aggregator.java|3
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamFilterTest.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/HoppingWindow.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KTableImpl.java|6
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/KStreamBuilder.java|2
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamImpl.java|6
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/KeyValueToDoubleMapper.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/KeyValueToLongMapper.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamBranchTest.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamJoinTest.java|2
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/JoinWindows.java|3
ymatsuda|streams/src/main/java/org/apache/kafka/streams/examples/KTableJob.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/SlidingWindow.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/KeyValueToIntMapper.java|1
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/KStreamBuilderTest.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/internals/TopKSupplier.java|1
ymatsuda|streams/src/main/java/org/apache/kafka/streams/kstream/UnlimitedWindows.java|2
